party_id,party_label,list_order,name_ka,first_name,last_name,birth_date,profession,employment_status,partisanship,source_page
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,11,გოჩა ბოკუჩავა,გოჩა,ბოკუჩავა,65-06-24,პოლიტოლოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,12,ლევან ქიძინიძე,ლევან,ქიძინიძე,55-01-19,სამართალმცოდნე,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,13,შალვა ხაჩაპურიძე,შალვა,ხაჩაპურიძე,66-03-20,"იურისტი; კ/ს ""ხაჭაპურიძე და იურიდიული კომანია""",დირექტორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,14,ზურაბი თოლორაია,ზურაბი,თოლორაია,52-10-20,"ინჟინერ-მეტალურგი, ლითონთა წნევით დამუშავების სპეციალისტი; შ.პ.ს. ""კრედო-I"" -1",დირექტორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,15,ზურაბ კოკაია,ზურაბ,კოკაია,58-09-22,მხატვარ-ტექნოლოგი; აფხაზეთის მთავრობა,აფხაზეთის მთავრობის წარმომადგენელი აფხაზეთის უმაღლეს საბჭოში,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,16,შოთა ზოიძე,შოთა,ზოიძე,42-02-02,"ქართული ენის, ლიტერატისა და ისტორიის მასწავლებელი; შოთა რუსთაველის სახელმწიფო უნივერსიტეტი",პროფესორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,17,ანზორი წოწონავა,ანზორი,წოწონავა,39-03-20,სამართალმცოდნეობა; აფხაზეთის ავტონომიური რესპუბლიკის უმაღლესი საბჭო,იურიდიული კომიტეტის თავმჯდომარე,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,18,მალხაზი ონიანი,მალხაზი,ონიანი,72-07-29,ფილოლოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,19,ვაჟა მაისურაძე,ვაჟა,მაისურაძე,69-07-08,სამართალმცოდნეობა; ს.ს.ი.პ. “საქართველოს ადვოკატთა ასოციაცია”,ადვოკატი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,20,ლაშა გოგნიაშ-ვილი,ლაშა,გოგნიაშ-ვილი,73-10-30,დრამისა და კინოს მსახიობი; კამერული თეატრი “თეატრი ათონელზე”,რეჟისორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,21,თემურ წურწუმია,თემურ,წურწუმია,79-01-28,"სამართალმცოდნეობა; რ/კ ""ქართულ-უკრაინული აკადემია""",იურისტი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,22,ლევან აქუბარდია,ლევან,აქუბარდია,82-10-27,სამართალ-მცოდნეობა; საზოგადოებრივი მოძრაობა “ზღვის შვილები”,თავმჯდომარე,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,23,რამაზ ფილფანი,რამაზ,ფილფანი,82-03-17,დრამისა და კინოს მსახიობი; კამერული თეატრი “თეატრი ათონელზე”,მსახიობი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,24,ესტატე ანთელავა,ესტატე,ანთელავა,35-12-10,ისტორიკოსი; სოხუმის სახელმწიფო უნივერსიტეტი,პროფესორი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,25,სიმონ ზაქარაია,სიმონ,ზაქარაია,40-07-03,ბიოლოგი; აფხაზეთის ეროვნული აკადემია,გაზეთ “დიოსკურიის” პასუხისმგებელი მდივანი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,26,მალხაზ აფრიდონიძე,მალხაზ,აფრიდონიძე,56-11-10,ისტორიკოსი; საქართველოს ეროვნული არქივი,სამეცნიერო ბიბლიოთეკის უფროსი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,27,შალვა ტლაშაძე,შალვა,ტლაშაძე,82-05-27,სამართალმცოდნეობა,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,28,ოლგა ბრაგვაძე-ქუთათელაძე,ოლგა,ბრაგვაძე-ქუთათელაძე,48-06-25,ჟურნალისტი; გორის სახელმწიფო უნივერსიტეტი,პედაგოგი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,29,ბიჭიკო ბოლქვაძე,ბიჭიკო,ბოლქვაძე,60-12-19,"პედაგოგი, სამართალმცოდნე",უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,30,გურამი თურმანიძე,გურამი,თურმანიძე,54-11-28,გეოგრაფია-ბიოლოგია,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,31,ეკატერინე ჯავახიძე,ეკატერინე,ჯავახიძე,75-12-18,"სამართალმცოდნე; კს ""კუბლაშვილი, ფხაკაძე და იურიდიული კომპანია""",ადვოკატი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,32,ელდარი ფიფია,ელდარი,ფიფია,50-02-26,ეკონომისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,33,კლარა ჭანტურია,კლარა,ჭანტურია,54-07-10,ისტორიკოსი; ქ. ზუგდიდის #7 საჯარო სკოლა,მასწავლებელი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,34,ამირან ბუთურიშვილი,ამირან,ბუთურიშვილი,54-02-28,"ლინგვისტი, ინფორმაციის ავტომატური დამუშავების სპეციალისტი; სარეკლამო კომპანია “სტილი+”",მთავარი რედაქტორი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,35,ბადრი კალადარიშ-ვილი,ბადრი,კალადარიშ-ვილი,69-07-11,სასურსათო და სამრეწველო საქონლის მარკეტინგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,36,გელოდი ცომაია,გელოდი,ცომაია,44-12-05,"ინჟინერ-მშენებელი; შ.პ.ს.""ბროლი""",დირექტორი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,37,გალინა მუკვანი,გალინა,მუკვანი,52-11-22,ფილოსოფოსი; შ.პ.ს “პოლიტიკური აკადემია”,ხარისხის მართვის სამსახურის უფროსი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,38,დავით კუპატაძე,დავით,კუპატაძე,67-09-17,დრამისა და კინოს მსახიობი; კამერული თეატრი “თეატრი ათონელზე”,მსახიობი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,39,დავით ნარსია,დავით,ნარსია,77-04-11,პოლიტოლოგიისა და საერთაშორისო სამართლის მცოდნე; შ.პ.ს. “პენა ბლოკ ტექნოლოჯი”,დირექტორი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,40,ბადრი ბენიძე,ბადრი,ბენიძე,77-02-08,სამართალმცოდნეობა; საზოგადოებრივი მოძრაობა “ზღვის შვილები”,თავმჯდომარის მოადგილე,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,41,რამინ აფაქიძე,რამინ,აფაქიძე,38-06-04,მხატვარი; აფხაზეთის განათლებისა და კულტურის სამინისტრო,კოორდინატორი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,42,რომანოზ ტალახაძე,რომანოზ,ტალახაძე,60-08-27,ეკონომისტი; შ.პ.ს. “ჰოუფ ინვესტ ჯგუფი”,დირექტორის მოადგილე,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,43,ენვერ ბარათელი,ენვერ,ბარათელი,55-08-25,ფილოსოფოსი; წერეთლის ფილოსოფიის ინსტიტუტი,მეცნიერ-თანამშრომელი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,44,თამარ სიმონიშვილი,თამარ,სიმონიშვილი,59-05-23,სამართალმცოდნეობა,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,45,სერგეი სლივინი,სერგეი,სლივინი,57-09-12,აეროპორტების ლოკაცია და ნავიგაცია,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,46,პაატა უბილავა,პაატა,უბილავა,73-07-03,სამართალმცოდნე; ს.ს.ი.პ. “საქართველოს ადვოკატთა ასოციაცია”,ადვოკატი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,47,ზაზა სიხარულიძე,ზაზა,სიხარულიძე,60-04-18,"საერთაშორისო სამართალმცოდნე; სრულიად საქართველოს ""ღვთის შვილთა კავშირი""",პრეზიდენტი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,48,ლელა თოფურია,ლელა,თოფურია,69-04-08,ინჟინერ-ქიმიკოს ტექნოლოგი; საქართველოს ტექნიკური უნივერსიტეტი სამკურნალო დიაგნოსტიკური ცენტრი,ასოცირებული პროფესორი ექიმი-ლაბორანტი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,49,გიორგი გამყრელიძე,გიორგი,გამყრელიძე,81-05-08,ინფორმატიკა გამოთვლითი ტექნიკა,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",2
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,50,ნატალია გარუჩავა,ნატალია,გარუჩავა,76-04-17,ექიმი პროფილაქტიკოსი; თბილისის სახელმწიფო სამედიცინო უნივერსიტეტი,მოწვეული პედაგოგი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,51,გოჩა ფიფია,გოჩა,ფიფია,69-06-04,უმუშევარი,,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,52,მამუკა ღონღაძე,მამუკა,ღონღაძე,66-01-03,ექიმი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,53,ბადრი ძამაშვილი,ბადრი,ძამაშვილი,75-12-21,ეკონომისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,54,ლაშა მანჯგალაძე,ლაშა,მანჯგალაძე,71-01-15,ეკონომისტი; ს.ს. “ინჟმშენი”,სამუშაოთა მწარმოებელი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,55,ქეთევანი ჩალაური,ქეთევანი,ჩალაური,72-11-11,ისტორია ფილოლოგია,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,56,შორენა ღუდუშაური,შორენა,ღუდუშაური,75-10-09,ექიმი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,57,მამუკა კობერიძე,მამუკა,კობერიძე,57-09-01,"ეკონომისტი; შ.პ.ს. ""სიონი-96""",მენეჯერი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,58,ხუტა ვეკუა,ხუტა,ვეკუა,40-10-21,პედაგოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,59,მერაბ ალთუნაშვილი,მერაბ,ალთუნაშვილი,60-09-12,ეკონომისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,60,ანნა სულთანიშვილი,ანნა,სულთანიშვილი,60-04-09,მუსიკოსი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,61,თამაზი სანდაძე,თამაზი,სანდაძე,57-12-23,იურისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,62,ილია საამიშვილი,ილია,საამიშვილი,58-12-16,ინჟინერ მეტალურგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,63,ნუგზარი ბიძიონაშვილი,ნუგზარი,ბიძიონაშვილი,55-02-28,პედაგოგი მიწათმომწყობი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,64,რევაზი გოგილავა,რევაზი,გოგილავა,60-06-09,ჰიდრომშენებელი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,65,მერაბი კაკალია,მერაბი,კაკალია,61-05-14,სტომატოლოგი; ზუგდიდის შ. დადიანის სახ. შაელმწიფო დრამ. თეატრი,მსახიობი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,66,ავთანდილი პეტრიდისი,ავთანდილი,პეტრიდისი,51-01-12,ეკონომისტი; წითელი ჯვრის საერთაშორისო კომიტეტი,უსაფრთხოების თანამშრომელი,უპარტიო,3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,67,ია მუშუქია,ია,მუშუქია,76-09-06,კარდიოლოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,68,ამირან ქარდავა,ამირან,ქარდავა,58-10-19,ეკონომისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,69,ბორისი ბულია,ბორისი,ბულია,59-08-30,ისტორიკოსი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,70,ნაპოლეონი ლაგვილავა,ნაპოლეონი,ლაგვილავა,59-04-19,უმუშევარი,,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,71,გიორგი სისვაძე,გიორგი,სისვაძე,62-07-27,"იურისტი, ინჟინერი",უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,72,ლალი შენგელია,ლალი,შენგელია,59-07-07,ქართული ენისა და ლიტერატიის პედაგოგი; ქ. ზუგდიდი V საშ. სკოლა,პედაგოგი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,73,ლია ახალაია,ლია,ახალაია,76-08-18,ჟურნალისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,74,ბადრი დარასელია,ბადრი,დარასელია,58-08-28,"ეკონომისტი; საადვოკატო ბიურო ""თემიდა""",სამეწარმეო სამართლისა და საგადასახადო საქმის ექსპერტი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,75,რუსუდანი სუთიძე,რუსუდანი,სუთიძე,63-10-27,ქართული ენისა და ლიტერატურის პედაგოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,76,აკაკი ბარქაია,აკაკი,ბარქაია,74-07-02,კომერციის მენეჯერი; ქ. თბილისის საერთაშორისო აეროპორტი,გადაზიდვების სამსახურის უფროსი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,77,ეკატერინე ებანოიძე,ეკატერინე,ებანოიძე,82-07-09,ტელე-რადიოჟურნალისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,78,ლაშა ჟორჟოლიანი,ლაშა,ჟორჟოლიანი,77-09-03,იურისტი; მსოფლიო ბანკი,ლოგისტი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,79,კობა ზარანდია,კობა,ზარანდია,76-12-20,იურისტ-მებაჟე,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,80,გიული ჯაყელი,გიული,ჯაყელი,61-09-16,ინგლისური ენის მასწავლებელი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,81,არჩილ ამირანაშვილი,არჩილ,ამირანაშვილი,55-01-04,მოქანდაკე,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,82,ვახტანგი ვანაძე,ვახტანგი,ვანაძე,49-12-05,ბუღალტერია,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,83,ზაური კაკუბერია,ზაური,კაკუბერია,48-04-18,მშენებელ-ინჟინერი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",3
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,84,ამირან ვანაძე,ამირან,ვანაძე,77-12-14,"საერთაშორისო სამართალმცოდნე; სასტუმრო შ.პ.ს. ""ინტურისტ პალასი""",რეგისტრატორი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,85,რამაზ გორგილაძე,რამაზ,გორგილაძე,65-06-13,ზოოინჟინერი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,86,ნუგზარი ჟვანია,ნუგზარი,ჟვანია,48-07-01,ფილოლოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,87,ბაჰადური რიჟვაძე,ბაჰადური,რიჟვაძე,67-01-02,ეთნოგრაფი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,88,გურამ ცინცაძე,გურამ,ცინცაძე,56-02-23,ს/მ წარმოების ეკონომისტ-ორგანიზატორი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,89,ოთარ ცეცხლაძე,ოთარ,ცეცხლაძე,69-04-18,იურისტი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,90,მზევინარი ძირკვაძე,მზევინარი,ძირკვაძე,71-09-19,ფილოლოგი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,91,ლევან თავართქილაძე,ლევან,თავართქილაძე,45-12-09,ინჟინერ-მშენებელი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,92,ზურაბი კვარაცხელია,ზურაბი,კვარაცხელია,56-01-04,ინჟინერ-მექანიკოსი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,93,ზურაბ აბაშიძე,ზურაბ,აბაშიძე,51-07-27,გეოგრაფიის მასქავლებელი; ბათუმის შოთა რუსთაველის სახ. Uუნივერსიტეტი,უფროსი მასწავლებელი,"პარტია ""ქართული პოლიტიკა""",4
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,94,მერაბი აბაშიძე,მერაბი,აბაშიძე,64-02-20,ფილოსოფოსი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",4
